,file,frame,person,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,idle_bob_1.MOV,0,0,tensor(315.4402),tensor(326.7383),tensor(349.0056),tensor(297.8242),tensor(282.8443),tensor(300.4351),tensor(404.4678),tensor(326.9815),tensor(244.3225),tensor(335.1276),tensor(465.2615),tensor(528.9310),tensor(205.0476),tensor(537.4954),tensor(521.1140),tensor(782.9689),tensor(148.1148),tensor(798.2509),tensor(527.5618),tensor(1002.4453),tensor(140.9009),tensor(1006.8635),tensor(412.0707),tensor(957.2811),tensor(247.7921),tensor(956.8067),tensor(395.4081),tensor(1306.9662),tensor(264.2390),tensor(1296.5691),tensor(374.6571),tensor(1595.1146),tensor(282.4957),tensor(1583.3298)
1,idle_bob_1.MOV,1,0,tensor(314.8095),tensor(327.1753),tensor(348.5630),tensor(298.2261),tensor(282.1539),tensor(300.7230),tensor(404.2600),tensor(327.3189),tensor(243.4722),tensor(335.1782),tensor(464.7528),tensor(528.7744),tensor(204.7182),tensor(537.1370),tensor(520.8520),tensor(782.1107),tensor(148.5669),tensor(797.5278),tensor(527.8777),tensor(1001.8647),tensor(141.1825),tensor(1007.4070),tensor(412.1087),tensor(956.7579),tensor(247.8507),tensor(956.1669),tensor(395.2300),tensor(1307.1984),tensor(263.9956),tensor(1296.5778),tensor(374.4688),tensor(1595.9645),tensor(282.1102),tensor(1583.9807)
2,idle_bob_1.MOV,2,0,tensor(315.7643),tensor(328.1407),tensor(349.8134),tensor(299.1344),tensor(282.9068),tensor(301.5251),tensor(405.8614),tensor(328.4897),tensor(243.9106),tensor(336.1329),tensor(465.6998),tensor(529.9696),tensor(204.9551),tensor(538.1287),tensor(520.3127),tensor(782.7806),tensor(148.4290),tensor(798.3869),tensor(527.6267),tensor(1001.9762),tensor(141.4053),tensor(1008.4730),tensor(412.5818),tensor(957.1152),tensor(247.8356),tensor(956.4417),tensor(396.0627),tensor(1306.8156),tensor(264.2411),tensor(1295.8882),tensor(374.3769),tensor(1594.2859),tensor(282.0742),tensor(1582.1005)
3,idle_bob_1.MOV,3,0,tensor(315.7721),tensor(330.7705),tensor(350.0541),tensor(302.0490),tensor(283.3035),tensor(304.1046),tensor(406.1350),tensor(331.8584),tensor(244.4595),tensor(338.6078),tensor(465.1714),tensor(532.5251),tensor(205.2712),tensor(540.1475),tensor(520.9092),tensor(783.8829),tensor(149.2131),tensor(798.9758),tensor(527.9176),tensor(1002.9172),tensor(141.6191),tensor(1009.3136),tensor(411.9653),tensor(957.6216),tensor(247.7006),tensor(956.8440),tensor(396.5027),tensor(1307.0717),tensor(264.6685),tensor(1296.7766),tensor(375.0370),tensor(1594.3048),tensor(282.7548),tensor(1583.6675)
4,idle_bob_1.MOV,4,0,tensor(317.3219),tensor(331.2078),tensor(351.1437),tensor(302.4129),tensor(284.7657),tensor(304.6754),tensor(406.3033),tensor(331.3882),tensor(245.7009),tensor(338.6970),tensor(465.7389),tensor(531.7360),tensor(205.8477),tensor(540.1919),tensor(520.6459),tensor(782.4133),tensor(149.3716),tensor(798.5504),tensor(527.8773),tensor(1003.7170),tensor(141.6372),tensor(1008.8735),tensor(412.6093),tensor(959.2988),tensor(248.4987),tensor(958.8131),tensor(396.5564),tensor(1308.1497),tensor(265.1670),tensor(1297.6298),tensor(374.6241),tensor(1594.6077),tensor(282.8113),tensor(1582.9050)
5,idle_bob_1.MOV,5,0,tensor(317.2096),tensor(331.9996),tensor(351.3837),tensor(303.4178),tensor(285.0080),tensor(305.2558),tensor(406.5160),tensor(332.6600),tensor(245.8776),tensor(338.7915),tensor(464.6042),tensor(532.6999),tensor(205.3353),tensor(540.3823),tensor(519.8363),tensor(784.1772),tensor(148.7745),tensor(799.2654),tensor(527.8045),tensor(1005.5706),tensor(141.3886),tensor(1009.6921),tensor(411.9827),tensor(959.1180),tensor(248.3056),tensor(958.7032),tensor(395.6627),tensor(1307.4526),tensor(264.4771),tensor(1298.3641),tensor(374.1681),tensor(1592.9229),tensor(283.0555),tensor(1584.1305)
6,idle_bob_1.MOV,6,0,tensor(319.6208),tensor(333.5002),tensor(353.6832),tensor(305.0592),tensor(287.1980),tensor(306.6637),tensor(407.5656),tensor(334.3801),tensor(246.8427),tensor(339.8686),tensor(464.8336),tensor(534.9838),tensor(205.2718),tensor(540.9426),tensor(521.2547),tensor(788.1528),tensor(148.7527),tensor(799.1697),tensor(528.4616),tensor(1008.5221),tensor(141.3747),tensor(1010.0834),tensor(411.7867),tensor(960.0495),tensor(248.1037),tensor(959.0389),tensor(393.8516),tensor(1307.9120),tensor(263.2919),tensor(1298.4485),tensor(373.0103),tensor(1592.6312),tensor(282.9599),tensor(1583.9031)
7,idle_bob_1.MOV,7,0,tensor(320.1927),tensor(333.6558),tensor(354.5367),tensor(305.4178),tensor(288.0425),tensor(306.6841),tensor(408.7419),tensor(335.1974),tensor(247.8465),tensor(339.8339),tensor(465.2679),tensor(535.6959),tensor(205.9131),tensor(540.8053),tensor(521.0164),tensor(789.8062),tensor(148.9354),tensor(799.3541),tensor(528.1507),tensor(1010.4750),tensor(142.0284),tensor(1009.2913),tensor(412.3223),tensor(958.8941),tensor(248.6361),tensor(957.5629),tensor(393.8514),tensor(1307.8871),tensor(262.7765),tensor(1298.1267),tensor(372.9790),tensor(1593.2554),tensor(282.8100),tensor(1584.4290)
8,idle_bob_1.MOV,8,0,tensor(320.2804),tensor(333.7007),tensor(354.5231),tensor(305.3535),tensor(287.9853),tensor(306.8931),tensor(408.8288),tensor(335.0099),tensor(247.8925),tensor(340.2947),tensor(466.0482),tensor(535.6797),tensor(206.1211),tensor(541.3698),tensor(521.6960),tensor(789.1493),tensor(148.9442),tensor(799.4425),tensor(528.4337),tensor(1009.6149),tensor(142.1204),tensor(1009.8154),tensor(412.7526),tensor(960.0275),tensor(248.7585),tensor(958.8774),tensor(394.0211),tensor(1308.3125),tensor(262.7033),tensor(1298.9015),tensor(372.8492),tensor(1592.3939),tensor(282.3745),tensor(1583.9637)
9,idle_bob_1.MOV,9,0,tensor(321.2764),tensor(335.3756),tensor(355.4279),tensor(307.0177),tensor(288.6780),tensor(308.5450),tensor(409.1282),tensor(336.6196),tensor(247.8246),tensor(341.9466),tensor(465.9692),tensor(536.9800),tensor(205.8150),tensor(542.8358),tensor(521.3361),tensor(790.1254),tensor(148.7501),tensor(800.7339),tensor(528.2164),tensor(1009.8276),tensor(141.7377),tensor(1009.8047),tensor(412.8855),tensor(960.7413),tensor(248.7753),tensor(959.6974),tensor(393.9242),tensor(1308.9988),tensor(262.6852),tensor(1299.5920),tensor(371.9265),tensor(1592.4510),tensor(281.7885),tensor(1583.8793)
